"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"AE1";"Texas_SWRA227E_868MHz";1;"Antenna";;;
2;"G***";"logo_ldwg";1;"LOGO";;;
3;"J4";"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical";1;"fence_neg";;;
4;"J3";"PhoenixContact_MSTBVA_2,5_2-G_1x02_P5.00mm_Vertical";1;"fence_pos";;;
5;"REF**,REF**,REF**,REF**";"MountingHole_4.3mm_M4";4;"MountingHole_4.3mm_M4";;;
6;"TP11";"PinHeader_1x01_P2.54mm_Vertical";1;"fencetp";;;
7;"TP10,TP9,TP8,TP7";"PinHeader_1x01_P2.54mm_Vertical";4;"tp";;;
8;"C8,C7,C5,C6";"C_0805_2012Metric";4;"100n";;;
9;"BT1";"BatteryHolder_Keystone_2462_2xAA";1;"2xAA";;;
10;"C1";"C_0402_1005Metric";1;"2p7";;;
11;"C2";"C_0402_1005Metric";1;"DNP";;;
12;"C3";"C_0805_2012Metric";1;"DNP";;;
13;"C4";"C_0805_2012Metric";1;"10u";;;
14;"D1,D2";"D_0603_1608Metric";2;"CG0603MLC-3.3";;;
15;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"SWD";;;
16;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"UART";;;
17;"L1";"L_0402_1005Metric";1;"1n8";;;
18;"Q1";"SOT-23";1;"Si2323";;;
19;"R1";"R_0805_2012Metric";1;"DNP";;;
20;"R2,R3";"R_0805_2012Metric";2;"10k";;;
21;"R4";"R_0805_2012Metric";1;"1M";;;
22;"R5";"R_0805_2012Metric";1;"2M";;;
23;"R6,R7,R14";"R_0805_2012Metric";3;"0R";;;
24;"R8";"R_0805_2012Metric";1;"21M";;;
25;"R9";"R_0805_2012Metric";1;"500k";;;
26;"R10";"R_0805_2012Metric";1;"4k7";;;
27;"R11";"R_0805_2012Metric";1;"1k";;;
28;"R12,R13";"R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal";2;"10M 1W";;;
29;"TP1,TP4,TP6";"TestPoint_THTPad_D2.5mm_Drill1.2mm";3;"tp";;;
30;"U1";"HOPERF_RFM9XW_SMD";1;"RFM95W-868S2";;;
31;"U2";"LQFP-32_7x7mm_P0.8mm";1;"STM32L071KBTx";;;
